0x8E5A	0xE32B
0x8E5C	0xE32D
0x8E5D	0xE32E
0x8E5E	0xE32F
0x8E61	0xE332
0x8E62	0xE333
0x8E63	0xE334
0x8E66	0xE337
0x8E67	0xE338
0x8E68	0xE339
0x8E6B	0xE33C
0x8E6D	0xE33E
0x8E6E	0xE33F
0x8E70	0xE341
0x8E72	0xE343
0x8E73	0xE344
0x8E75	0xE346
0x8E76	0xE347
0x8E78	0xE349
0x8E79	0xE34A
0x8E7A	0xE34B
0x8E7B	0xE34C
0x8E7C	0xE34D
0x8E7D	0xE34E
0x8EA1	0xE350
0x8EA2	0xE351
0x8EA4	0xE353
0x8EA6	0xE355
0x8EA7	0xE356
0x8EA8	0xE357
0x8EA9	0xE358
0x8EAA	0xE359
0x8EAE	0xE35D
0x8EAF	0xE35E
0x8EB0	0xE35F
0x8EB2	0xE361
0x8EB7	0xE366
0x8EB8	0xE367
0x8EB9	0xE368
0x8EBA	0xE369
0x8EBB	0xE36A
0x8EBC	0xE36B
0x8EBD	0xE36C
0x8EBE	0xE36D
0x8EBF	0xE36E
0x8EC1	0xE370
0x8EC2	0xE371
0x8EC4	0xE373
0x8EC7	0xE376
0x8EC9	0xE378
0x8ECB	0xE37A
0x8ECE	0xE37D
0x8ECF	0xE37E
0x8ED1	0xE380
0x8ED4	0xE383
0x8ED5	0xE384
0x8ED6	0xE385
0x8ED8	0xE387
0x8EDC	0xE38B
0x8EDD	0xE38C
0x8EDF	0xE38E
0x8EE0	0xE38F
0x8EE1	0xE390
0x8EE3	0xE392
0x8EE6	0xE395
0x8EE8	0xE397
0x8EEA	0xE399
0x8EED	0xE39C
0x8EEE	0xE39D
0x8EF2	0xE3A1
0x8EF4	0xE3A3
0x8EF5	0xE3A4
0x8EFB	0xE3AA
0x8EFC	0xE3AB
0x8EFE	0xE3AD
0x8F40	0xE3AE
0x8F41	0xE3AF
0x8F42	0xE3B0
0x8F45	0xE3B3
0x8F48	0xE3B6
0x8F49	0xE3B7
0x8F4A	0xE3B8
0x8F50	0xE3BE
0x8F51	0xE3BF
0x8F52	0xE3C0
0x8F53	0xE3C1
0x8F54	0xE3C2
0x8F56	0xE3C4
0x8F58	0xE3C6
0x8F59	0xE3C7
0x8F5B	0xE3C9
0x8F5C	0xE3CA
0x8F5D	0xE3CB
0x8F60	0xE3CE
0x8F62	0xE3D0
0x8F63	0xE3D1
0x8F64	0xE3D2
0x8F65	0xE3D3
0x8F66	0xE3D4
0x8F68	0xE3D6
0x8F6D	0xE3DB
0x8F6F	0xE3DD
0x8F70	0xE3DE
0x8F71	0xE3DF
